Claim_ID,Category,Claim_Statement,Manuscript_Location,Implementation_File,Statistical_Method,Quantitative_Result,Status
EMP-04,Empirical,H1: Significant causal spectral contraction in Western,Section 4.2 Fig 3,scripts/run_hypotheses_testing.py,Surrogate lower 5th percentile comparison (B=1000),Empirical DCD^{PR} = 3.569 < c_{0.05} = 4.335 (p < 0.001; 31.2% FDR),VERIFIED
EMP-05,Empirical,H1: Spatial aggregation limits in Eastern Interconnection,Section 4.2,scripts/run_hypotheses_testing.py,Surrogate comparison (B=1000),Empirical DCD^{PR} = 0.626 (p = 0.9970); CCG p = 0.1309,VERIFIED
EMP-06,Empirical,H1: Surrogate tolerance sensitivity across tau in [0.08 0.15],Section 4.2,scripts/compute_surrogate_sensitivity.py,Dedicated candidate ensembles across tau spectrum,p < 0.01 across all tau; min surrogate > empirical,VERIFIED
EMP-07,Empirical,H1: 2022H2 independent temporal hold-out replication,Section 4.2,scripts/run_hypotheses_testing.py,Out-of-sample temporal holdout (B=100 p=0.0099),ERCOT p=0.0099; Western p=0.0099; replicates 2021 pattern,VERIFIED
EMP-08,Empirical,H2: GAM non-linear association with renewable generation,Section 4.3 Fig 4,src/dce/analysis/hypothesis.py,Cyclic P-splines GAM (Hour [0 24]; DOY [1 366]),ERCOT deviance explained 62.2%; Western 72.0% (p < 10^{-15}),VERIFIED
EMP-09,Empirical,H2: Hansen sup-Wald test in ERCOT confirms smooth coordination,Section 4.3 Fig 4,src/dce/analysis/hypothesis.py,Hansen (1996) test with B=2000 block bootstrap and exact HAC,Candidate gamma = 16.1% VRE; T_{sup} = 1.810; p = 0.5582 (no tipping point),VERIFIED
EMP-10,Empirical,H2: Hansen sup-Wald test in Western detects localized slope change,Section 4.3 Fig 4,src/dce/analysis/hypothesis.py,Hansen (1996) test with B=2000 block bootstrap and exact HAC,Candidate gamma = 14.1% VRE; T_{sup} = 19.879; p = 0.0045 (continuous operation),VERIFIED
EMP-11,Empirical,H3: Winter Storm Uri matched event study with 14-day exclusion window,Section 4.4 Fig 5a,src/dce/analysis/hypothesis.py,Two-sided block permutation test on matched historical baselines,Delta CCG = -0.040; p_{surge} = 0.7123; p_{block} = 0.5764,VERIFIED
EMP-12,Empirical,H3: Dynamic causal dimensionality expansion during Uri crisis,Section 4.4 Fig 5b,src/dce/analysis/hypothesis.py,Two-sided block permutation test on effective degrees of freedom,Delta DCD^{PR} = +1.094; p = 0.0010; 0.0% collapse below p10 baseline,VERIFIED
EMP-13,Empirical,H3: Multi-crisis panel Fisher combined omnibus test,Section 4.4,src/dce/analysis/hypothesis.py,Fisher combined test across 5 meteorological crisis events,T_{Fisher} = 14.38; df = 10; p = 0.1563 (heterogeneous dynamics),VERIFIED
EMP-14,Empirical,H4: Lookahead-free walk-forward rolling forecasting diagnostics,Section 4.5 Fig 6,src/dce/analysis/hypothesis.py,Diebold-Mariano test with HAC covariance and Benjamini-Hochberg FDR,h=1 p=0.4737; h=6 p=0.2376; h=12 DM=-2.845 q=0.0178 (diagnostic only),VERIFIED
REP-01,Reproducibility,One-command end-to-end pipeline execution,README.md,scripts/reproduce_all.py,Automated bash execution with --compile-latex flag,100% reproduction of parquets figures and LaTeX PDF,VERIFIED
REP-02,Reproducibility,Unified test suite coverage,tests/ & audit_tests/,pytest tests/ audit_tests/,86 automated unit integration and adversarial tests,86 passed; 0 failed; 0 warnings in 14.8 seconds,VERIFIED
REP-03,Reproducibility,Strict 12-page manuscript budget compliance,paper/main.tex,pdflatex compilation,pypdf verification of main.pdf and paper_dce_submitted.pdf,Strictly 12 pages (Page 8 ends bibliography; Pages 9-12 are Figs 3-6),VERIFIED
REP-04,Reproducibility,Cross-platform architectural invariance,CI / Local / Remote,macOS Darwin ARM64 & Linux Ubuntu x86_64,Identical test passes and artifact hashes,CERTIFIED
